17 September 2019 22:28:45 | Номер: 2 | Текс: Use of undefined constant PATH - assumed 'PATH' (this will throw an Error in a future version of PHP) | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\libs\function.php | Линия: 26
#################
17 September 2019 22:30:34 | Номер: Исключение | Текс: Class 'fw\core\base\Exception' not found | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\base\View.php | Линия: 30
#################
17 September 2019 22:31:44 | Номер: Исключение | Текс: Class 'fw\core\base\Exception' not found | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\base\View.php | Линия: 30
#################
17 September 2019 22:32:17 | Номер: Исключение | Текс: Class 'fw\core\base\Exception' not found | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\base\View.php | Линия: 30
#################
23 September 2019 18:46:12 | Номер: Исключение | Текс: Class 'fw\core\Regestry' not found | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\App.php | Линия: 11
#################
23 September 2019 18:46:44 | Номер: Исключение | Текс: Class 'fw\core\Regestry' not found | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\App.php | Линия: 11
#################
23 September 2019 18:46:45 | Номер: Исключение | Текс: Class 'fw\core\Regestry' not found | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\App.php | Линия: 11
#################
23 September 2019 18:46:46 | Номер: Исключение | Текс: Class 'fw\core\Regestry' not found | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\App.php | Линия: 11
#################
23 September 2019 18:47:33 | Номер: 8 | Текс: Undefined index: componets | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Registry.php | Линия: 17
#################
23 September 2019 18:48:34 | Номер: 8 | Текс: Undefined index: componets | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Registry.php | Линия: 18
#################
23 September 2019 18:48:35 | Номер: 8 | Текс: Undefined index: componets | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Registry.php | Линия: 18
#################
23 September 2019 18:48:35 | Номер: 8 | Текс: Undefined index: componets | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Registry.php | Линия: 18
#################
23 September 2019 18:48:35 | Номер: 8 | Текс: Undefined index: componets | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Registry.php | Линия: 18
#################
23 September 2019 18:48:57 | Номер: 2 | Текс: Illegal string offset 'property' | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\App.php | Линия: 19
#################
23 September 2019 18:51:31 | Номер: 2 | Текс: Illegal string offset 'property' | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\App.php | Линия: 20
#################
23 September 2019 18:51:51 | Номер: 2 | Текс: Invalid argument supplied for foreach() | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\App.php | Линия: 19
#################
23 September 2019 18:52:40 | Номер: 2 | Текс: Invalid argument supplied for foreach() | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\App.php | Линия: 20
#################
23 September 2019 19:12:36 | Номер: 8 | Текс: Undefined variable: url | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 20
#################
23 September 2019 19:12:37 | Номер: 8 | Текс: Undefined variable: url | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 20
#################
23 September 2019 19:12:49 | Номер: 8 | Текс: Undefined variable: url | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 20
#################
23 September 2019 19:12:50 | Номер: 8 | Текс: Undefined variable: url | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 20
#################
23 September 2019 19:13:57 | Номер: Исключение | Текс: Class 'Routers' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 17
#################
